,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
3,Hyundai Venue -,PLATINUM,Chennai,1019699,16112, Petrol , 2nd Owner,2019,Hyundai
4,Honda Jazz -,PLATINUM,Pune,713499,30988, Petrol , 2nd Owner,2017,Honda
5,Hyundai i20 -,PLATINUM,Pune,391099,69163, Diesel , 2nd Owner,2013,Hyundai
6,Maruti Suzuki Swift,PLATINUM,Pune,474299,42859, Petrol , 2nd Owner,2015,Maruti
7,Toyota Corolla Altis,PLATINUM,Pune,1252999,34919, Petrol , 1st Owner,2017,Toyota
9,Hyundai Elite i20,PLATINUM,Pune,730899,13687, Petrol , 1st Owner,2017,Hyundai
10,Maruti Suzuki Alto,PLATINUM,Pune,343099,29848, Petrol , 2nd Owner,2018,Maruti
11,Honda Jazz -,PLATINUM,Pune,707599,21426, Petrol , 2nd Owner,2018,Honda
12,Maruti Suzuki Baleno,PLATINUM,Pune,688899,68177, Diesel , 2nd Owner,2016,Maruti
13,Jeep Compass -,PLATINUM,Pune,1421599,70650, Diesel , 1st Owner,2017,Jeep
14,Maruti Suzuki Alto,PLATINUM,Pune,399999,25730, Petrol , 2nd Owner,2017,Maruti
15,Kia Seltos -,PLATINUM,Pune,1473299,47096, Petrol , 2nd Owner,2019,Kia
18,Hyundai Creta 1.6,GOLD,Chennai,600000,58460, Diesel , 1st Owner,2019,Hyundai
19,Kia Seltos -,GOLD,Chennai,800000,48000, Petrol , 1st Owner,2020,Kia
24,Ford Ecosport -,PLATINUM,Pune,807499,23698, Petrol , 1st Owner,2017,Ford
25,Hyundai Grand i10,PLATINUM,Pune,522999,37860, Petrol , 2nd Owner,2016,Hyundai
26,Maruti Suzuki Swift,PLATINUM,Pune,474299,91830, Petrol , 2nd Owner,2015,Maruti
27,Hyundai Elite i20,PLATINUM,Pune,740899,31172, Petrol , 2nd Owner,2019,Hyundai
28,Toyota Yaris -,PLATINUM,Pune,1141999,3243, Petrol , 2nd Owner,2021,Toyota
29,Tata Nexon -,PLATINUM,Pune,971299,9616, Petrol , 2nd Owner,2020,Tata
30,Maruti Suzuki Baleno,PLATINUM,Pune,640999,30249, Petrol , 2nd Owner,2017,Maruti
31,Maruti Suzuki Baleno,PLATINUM,Pune,676199,60875, Petrol , 2nd Owner,2019,Maruti
32,Maruti Suzuki Swift,PLATINUM,Chennai,562399,25740, Petrol , 2nd Owner,2017,Maruti
33,Ford Ecosport 1.0,PLATINUM,Pune,580899,38587, Petrol , 2nd Owner,2014,Ford
34,Renault Triber -,PLATINUM,Pune,770999,3108, Petrol , 2nd Owner,2021,Renault
35,Honda Amaze -,PLATINUM,Pune,531399,35353, Petrol , 2nd Owner,2016,Honda
36,Hyundai EON Magna,PLATINUM,Pune,367299,34748, Petrol , 2nd Owner,2017,Hyundai
37,Maruti Suzuki Alto,PLATINUM,Pune,412199,2359, Petrol , 2nd Owner,2020,Maruti
38,Hyundai Creta S,PLATINUM,Pune,1460099,17814, Diesel , 2nd Owner,2020,Hyundai
39,Maruti Suzuki Baleno,PLATINUM,Pune,618699,68934, Petrol , 2nd Owner,2018,Maruti
40,Hyundai i20 Asta,GOLD,Bangalore,485000,72600, Petrol , 2nd Owner,2014,Hyundai
42,Nissan Micra XV,GOLD,Chennai,245000,80000, Diesel , 1st Owner,2012,Nissan
47,MG Motors Hector,GOLD,Chennai,1200000,36000, Diesel , 1st Owner,2020,MG
48,Maruti Suzuki Wagon,PLATINUM,Pune,490199,15840, Petrol , 2nd Owner,2017,Maruti
49,Maruti Suzuki Baleno,PLATINUM,Pune,618699,68934, Petrol , 2nd Owner,2018,Maruti
50,Maruti Suzuki Vitara,PLATINUM,Pune,920999,32482, Diesel , 2nd Owner,2017,Maruti
51,Honda City -,PLATINUM,Pune,554399,113779, Diesel , 2nd Owner,2014,Honda
52,Maruti Suzuki Wagon,PLATINUM,Pune,408999,26150, Petrol , 2nd Owner,2017,Maruti
53,Mahindra XUV 500,PLATINUM,Pune,1248299,34555, Diesel , 2nd Owner,2018,Mahindra
54,Maruti Suzuki Baleno,PLATINUM,Pune,636099,30880, Petrol , 1st Owner,2018,Maruti
55,Hyundai i20 Asta,PLATINUM,Pune,452699,70423, Petrol , 1st Owner,2013,Hyundai
56,Hyundai Elite i20,PLATINUM,Pune,704399,30232, Diesel , 2nd Owner,2018,Hyundai
57,Volkswagen Polo -,PLATINUM,Pune,553599,50077, Petrol , 2nd Owner,2016,Volkswagen
58,Ford Ecosport -,PLATINUM,Pune,999599,18482, Diesel , 2nd Owner,2018,Ford
59,Maruti Suzuki Baleno,PLATINUM,Pune,684699,10246, Petrol , 2nd Owner,2018,Maruti
60,Maruti Suzuki Baleno,PLATINUM,Pune,620399,25021, Petrol , 2nd Owner,2016,Maruti
61,Hyundai Elite i20,PLATINUM,Pune,549899,70646, Petrol , 2nd Owner,2014,Hyundai
62,Maruti Suzuki Vitara,PLATINUM,Pune,812899,45490, Diesel , 2nd Owner,2018,Maruti
63,Ford Ecosport -,PLATINUM,Chennai,656699,53306, Diesel , 2nd Owner,2016,Ford
64,Hyundai Creta 1.6,GOLD,Chennai,725000,58460, Diesel , 1st Owner,2019,Hyundai
65,Hyundai Venue -,GOLD,Chennai,600000,29000, Diesel , 1st Owner,2019,Hyundai
72,Hyundai Creta 1.6,PLATINUM,Pune,818599,69215, Petrol , 1st Owner,2017,Hyundai
73,Hyundai Verna 1.6,PLATINUM,Pune,862399,33340, Petrol , 1st Owner,2018,Hyundai
74,Renault Triber -,PLATINUM,Pune,673599,9783, Petrol , 2nd Owner,2019,Renault
75,Hyundai Santro Sportz,PLATINUM,Pune,528899,15110, Petrol , 2nd Owner,2018,Hyundai
76,Maruti Suzuki S,PLATINUM,Pune,527999,3399, Petrol , 2nd Owner,2021,Maruti
77,Mahindra XUV 500,PLATINUM,Pune,791699,89310, Diesel , 1st Owner,2013,Mahindra
78,Maruti Suzuki Wagon,PLATINUM,Chennai,392999,53148, Petrol , 1st Owner,2015,Maruti
79,Honda City VX,PLATINUM,Pune,690199,42020, Petrol , 1st Owner,2015,Honda
80,Maruti Suzuki Swift,PLATINUM,Pune,474699,74594, Diesel , 2nd Owner,2013,Maruti
81,MG Motors Hector,PLATINUM,Pune,2019899,6110, Petrol , 2nd Owner,2021,MG
82,Hyundai Grand i10,PLATINUM,Pune,562299,24346, Petrol , 2nd Owner,2017,Hyundai
83,Jeep Compass -,PLATINUM,Pune,1400999,65668, Diesel , 1st Owner,2017,Jeep
84,Renault Kwid -,PLATINUM,Pune,447599,48644, Petrol , 2nd Owner,2018,Renault
85,Toyota Innova Crysta,PLATINUM,Pune,1814599,36877, Diesel , 2nd Owner,2018,Toyota
86,Tata Nexon -,PLATINUM,Pune,920399,79673, Diesel , 2nd Owner,2018,Tata
87,Maruti Suzuki Swift,PLATINUM,Pune,447599,54352, Petrol , 2nd Owner,2014,Maruti
91,Mahindra Xylo -,GOLD,Kozhikode,525000,107000, Diesel , 1st Owner,2015,Mahindra
92,Mahindra Xylo -,GOLD,Kozhikode,525000,107000, Diesel , 2nd Owner,2015,Mahindra
96,Maruti Suzuki Alto,PLATINUM,Pune,343299,48658, Petrol , 2nd Owner,2017,Maruti
97,MG Motors Hector,PLATINUM,Pune,1711499,11998, Petrol , 2nd Owner,2020,MG
98,Maruti Suzuki Vitara,PLATINUM,Pune,918799,32513, Diesel , 2nd Owner,2018,Maruti
99,Hyundai Grand i10,PLATINUM,Pune,526399,21372, Petrol , 2nd Owner,2016,Hyundai
100,Volkswagen Vento -,PLATINUM,Pune,881099,34178, Petrol , 1st Owner,2017,Volkswagen
101,Kia Seltos -,PLATINUM,Pune,1764199,20547, Petrol , 2nd Owner,2019,Kia
102,Maruti Suzuki Baleno,PLATINUM,Pune,639199,34731, Petrol , 2nd Owner,2016,Maruti
103,Hyundai Grand i10,PLATINUM,Pune,522999,30536, Petrol , 1st Owner,2016,Hyundai
104,MG Motors Hector,PLATINUM,Bangalore,1917599,10205, Diesel , 2nd Owner,2019,MG
105,Maruti Suzuki Wagon,PLATINUM,Pune,466599,25483, Petrol , 2nd Owner,2017,Maruti
106,Toyota Corolla Altis,PLATINUM,Pune,1397699,39113, Petrol , 2nd Owner,2017,Toyota
107,Maruti Suzuki Ignis,PLATINUM,Pune,504399,43152, Petrol , 2nd Owner,2017,Maruti
108,MG Motors Hector,PLATINUM,Pune,1920399,5325, Petrol , 2nd Owner,2020,MG
109,Ford Ecosport -,PLATINUM,Pune,917599,44705, Petrol , 2nd Owner,2018,Ford
110,Toyota Etios -,PLATINUM,Pune,319099,70022, Petrol , 2nd Owner,2011,Toyota
111,Maruti Suzuki Celerio,PLATINUM,Pune,484399,47435, Petrol , 2nd Owner,2017,Maruti
115,Honda City 1.5,GOLD,Lucknow,73000,195000, Petrol , 2nd Owner,2001,Honda
117,Hyundai Verna 1.6,GOLD,Coimbatore,1550000,13000, Petrol , 1st Owner,2022,Hyundai
118,Mahindra e2o T2,GOLD,Bangalore,420000,46000, Electric , 1st Owner,2016,Mahindra
119,Toyota Fortuner 4x4,GOLD,Kolkata,1595000,72000, Diesel , 1st Owner,2015,Toyota
120,Hyundai Xcent -,PLATINUM,Pune,573499,29026, Petrol , 2nd Owner,2016,Hyundai
121,Hyundai Creta 1.6,PLATINUM,Pune,879199,59258, Petrol , 2nd Owner,2015,Hyundai
122,Mahindra XUV 500,PLATINUM,Pune,733399,120399, Diesel , 1st Owner,2014,Mahindra
123,Maruti Suzuki Vitara,PLATINUM,Pune,967599,28853, Diesel , 2nd Owner,2018,Maruti
124,Honda City -,PLATINUM,Pune,1539299,9811, Petrol , 2nd Owner,2020,Honda
125,Hyundai i20 Active,PLATINUM,Pune,561499,43538, Petrol , 2nd Owner,2015,Hyundai
126,Hyundai Creta -,PLATINUM,Pune,1042699,66400, Petrol , 2nd Owner,2017,Hyundai
127,Maruti Suzuki S,PLATINUM,Pune,1032099,59341, Diesel , 2nd Owner,2017,Maruti
128,Hyundai Creta -,PLATINUM,Pune,903499,56246, Petrol , 2nd Owner,2016,Hyundai
129,Honda Amaze -,PLATINUM,Pune,472499,35944, Petrol , 2nd Owner,2014,Honda
130,Honda WR V,PLATINUM,Pune,771299,17699, Petrol , 2nd Owner,2018,Honda
131,Maruti Suzuki Wagon,PLATINUM,Pune,447099,41065, Petrol , 2nd Owner,2017,Maruti
132,Renault Kwid -,PLATINUM,Pune,504599,2311, Petrol , 2nd Owner,2019,Renault
133,Hyundai Grand i10,PLATINUM,Pune,620999,2991, Petrol , 2nd Owner,2018,Hyundai
134,Hyundai Grand i10,PLATINUM,Pune,433999,29762, Petrol , 2nd Owner,2015,Hyundai
135,Skoda Rapid -,PLATINUM,Pune,627499,91917, Diesel , 2nd Owner,2016,Skoda
144,Renault Kwid -,PLATINUM,Pune,504599,2311, Petrol , 2nd Owner,2019,Renault
145,Maruti Suzuki Dzire,PLATINUM,Pune,704199,30771, Petrol , 2nd Owner,2018,Maruti
146,Hyundai Santro Sportz,PLATINUM,Pune,513099,29488, Petrol , 2nd Owner,2018,Hyundai
147,Renault Kwid -,PLATINUM,Pune,469399,36559, Petrol , 2nd Owner,2019,Renault
148,Honda WR V,PLATINUM,Pune,844199,38242, Diesel , 2nd Owner,2018,Honda
149,Maruti Suzuki Ignis,PLATINUM,Pune,544799,66426, Petrol , 1st Owner,2017,Maruti
150,Volkswagen Polo -,PLATINUM,Pune,710899,16950, Petrol , 2nd Owner,2018,Volkswagen
151,Maruti Suzuki Baleno,PLATINUM,Pune,580599,18866, Petrol , 2nd Owner,2016,Maruti
152,Maruti Suzuki Swift,PLATINUM,Pune,638499,53245, Diesel , 1st Owner,2017,Maruti
153,Hyundai Verna -,PLATINUM,Pune,654699,44543, Petrol , 1st Owner,2016,Hyundai
154,Maruti Suzuki S,PLATINUM,Pune,894199,50128, Diesel , 1st Owner,2018,Maruti
155,Maruti Suzuki S,PLATINUM,Pune,858599,56349, Diesel , 2nd Owner,2018,Maruti
156,Maruti Suzuki S,PLATINUM,Pune,992199,69524, Diesel , 2nd Owner,2017,Maruti
157,Volkswagen Polo -,PLATINUM,Pune,714999,41218, Petrol , 1st Owner,2017,Volkswagen
158,Maruti Suzuki Baleno,PLATINUM,Pune,765599,9085, Petrol , 1st Owner,2020,Maruti
159,MG Motors Hector,PLATINUM,Bangalore,1800299,11292, Diesel , 2nd Owner,2019,MG
160,Mercedes Benz C,GOLD,Mumbai,1190000,75000, Diesel , 2nd Owner,2011,Mercedes
165,Maruti Suzuki Ertiga,GOLD,Delhi,600000,48600, Diesel , 1st Owner,2015,Maruti
166,Maruti Suzuki Alto,GOLD,Delhi,336000,3600, Petrol , 1st Owner,2019,Maruti
168,Maruti Suzuki Dzire,PLATINUM,Pune,680699,29594, Petrol , 2nd Owner,2019,Maruti
169,Honda City VX,PLATINUM,Pune,714899,55953, Petrol , 1st Owner,2015,Honda
170,Maruti Suzuki Alto,PLATINUM,Pune,316799,16980, Petrol , 1st Owner,2016,Maruti
171,Ford Ecosport -,PLATINUM,Pune,675099,41828, Diesel , 2nd Owner,2016,Ford
172,Maruti Suzuki S,PLATINUM,Pune,1057399,64803, Diesel , 2nd Owner,2018,Maruti
173,Maruti Suzuki Ertiga,PLATINUM,Pune,938099,44460, Diesel , 2nd Owner,2018,Maruti
174,Tata Nexon -,PLATINUM,Pune,1057699,14276, Diesel , 2nd Owner,2018,Tata
175,Maruti Suzuki Wagon,PLATINUM,Pune,610099,23425, Petrol , 2nd Owner,2019,Maruti
176,Maruti Suzuki Alto,PLATINUM,Pune,452199,23056, Petrol , 2nd Owner,2018,Maruti
177,Hyundai Elite i20,PLATINUM,Pune,712699,16102, Petrol , 2nd Owner,2019,Hyundai
178,Maruti Suzuki Vitara,PLATINUM,Pune,838699,56615, Diesel , 1st Owner,2019,Maruti
179,Mahindra TUV300 -,PLATINUM,Pune,666899,70317, Diesel , 1st Owner,2015,Mahindra
180,MG Motors Hector,PLATINUM,Bangalore,1681899,6760, Petrol , 2nd Owner,2020,MG
181,MG Motors Hector,PLATINUM,Chennai,1854599,8870, Petrol , 2nd Owner,2020,MG
182,Maruti Suzuki Baleno,PLATINUM,Pune,571499,78209, Petrol , 1st Owner,2016,Maruti
183,Volkswagen Vento -,PLATINUM,Pune,589199,64292, Petrol , 2nd Owner,2015,Volkswagen
188,Toyota Fortuner 3.0,GOLD,Chandigarh,1231000,117000, Diesel , 2nd Owner,2012,Toyota
190,Hyundai i20 Magna,GOLD,Bangalore,320000,89450, Diesel , 2nd Owner,2011,Hyundai
192,Maruti Suzuki Alto,PLATINUM,Pune,351699,58771, Petrol , 2nd Owner,2015,Maruti
193,Maruti Suzuki Alto,PLATINUM,Pune,299199,53266, Petrol , 2nd Owner,2016,Maruti
194,Honda Amaze -,PLATINUM,Pune,657199,9200, Petrol , 2nd Owner,2019,Honda
195,Ford Ecosport -,PLATINUM,Pune,539299,61721, Petrol , 2nd Owner,2014,Ford
196,Hyundai Grand i10,PLATINUM,Pune,608399,18333, Petrol , 2nd Owner,2017,Hyundai
197,Ford Ecosport -,PLATINUM,Pune,1042799,51780, Petrol , 2nd Owner,2019,Ford
198,Maruti Suzuki Baleno,PLATINUM,Pune,645199,30854, Petrol , 2nd Owner,2018,Maruti
199,Ford Ecosport -,PLATINUM,Pune,811899,24680, Petrol , 2nd Owner,2017,Ford
200,Volkswagen Vento -,PLATINUM,Pune,557799,85663, Petrol , 1st Owner,2015,Volkswagen
201,Mahindra Bolero -,PLATINUM,Pune,873999,20541, Diesel , 2nd Owner,2021,Mahindra
202,Hyundai i20 Magna,PLATINUM,Pune,278299,64182, Petrol , 1st Owner,2010,Hyundai
203,Maruti Suzuki S,PLATINUM,Pune,986399,58819, Diesel , 2nd Owner,2017,Maruti
204,Maruti Suzuki Wagon,PLATINUM,Pune,610099,32057, Petrol , 2nd Owner,2019,Maruti
205,Jeep Compass -,PLATINUM,Pune,1749899,18403, Petrol , 2nd Owner,2018,Jeep
206,Maruti Suzuki Alto,PLATINUM,Pune,443899,7877, Petrol , 2nd Owner,2018,Maruti
207,Hyundai Verna 1.6,PLATINUM,Pune,936299,15509, Petrol , 2nd Owner,2018,Hyundai
216,Maruti Suzuki Baleno,PLATINUM,Pune,580599,48329, Petrol , 1st Owner,2016,Maruti
217,Renault Kwid RXT,PLATINUM,Pune,404499,21301, Petrol , 2nd Owner,2019,Renault
218,Maruti Suzuki Vitara,PLATINUM,Pune,838699,34566, Diesel , 2nd Owner,2019,Maruti
219,Renault Kwid -,PLATINUM,Pune,446499,34297, Petrol , 2nd Owner,2018,Renault
220,Tata Hexa -,PLATINUM,Pune,1047499,119571, Diesel , 2nd Owner,2017,Tata
221,Maruti Suzuki Alto,PLATINUM,Pune,345599,27957, Petrol , 2nd Owner,2018,Maruti
222,Ford Ecosport -,PLATINUM,Pune,784399,27210, Petrol , 2nd Owner,2018,Ford
223,Maruti Suzuki Swift,PLATINUM,Pune,489399,21610, Petrol , 2nd Owner,2014,Maruti
224,Maruti Suzuki Baleno,PLATINUM,Pune,627499,40902, Petrol , 2nd Owner,2017,Maruti
225,Maruti Suzuki Alto,PLATINUM,Pune,288399,11057, Petrol , 2nd Owner,2015,Maruti
226,Maruti Suzuki Baleno,PLATINUM,Pune,573999,72505, Petrol , 2nd Owner,2016,Maruti
227,Hyundai Creta -,PLATINUM,Pune,1373699,31338, Petrol , 1st Owner,2018,Hyundai
228,Maruti Suzuki Alto,PLATINUM,Pune,279799,28674, Petrol , 2nd Owner,2016,Maruti
229,Hyundai Elite i20,PLATINUM,Pune,658199,25416, Petrol , 1st Owner,2018,Hyundai
230,Hyundai Grand i10,PLATINUM,Pune,465499,14765, Petrol , 2nd Owner,2016,Hyundai
231,Toyota Etios -,PLATINUM,Pune,563999,60380, Diesel , 1st Owner,2015,Toyota
240,Maruti Suzuki Baleno,PLATINUM,Pune,718699,19775, Petrol , 2nd Owner,2018,Maruti
241,Tata Tiago -,PLATINUM,Pune,543399,28495, Petrol , 1st Owner,2018,Tata
242,Hyundai Creta -,PLATINUM,Pune,1780399,28344, Diesel , 2nd Owner,2020,Hyundai
243,Toyota Glanza -,PLATINUM,Pune,757999,10801, Petrol , 2nd Owner,2020,Toyota
244,Tata Nexon -,PLATINUM,Pune,1013999,4365, Petrol , 1st Owner,2019,Tata
245,Maruti Suzuki Celerio,PLATINUM,Pune,439999,53266, Diesel , 2nd Owner,2016,Maruti
246,Maruti Suzuki S,PLATINUM,Pune,839199,50866, Diesel , 2nd Owner,2018,Maruti
247,Maruti Suzuki Alto,PLATINUM,Pune,421799,24230, Petrol , 2nd Owner,2019,Maruti
248,Maruti Suzuki Baleno,PLATINUM,Pune,580599,64275, Petrol , 2nd Owner,2016,Maruti
249,Hyundai Venue -,PLATINUM,Pune,986799,8924, Petrol , 2nd Owner,2019,Hyundai
250,MG Motors Hector,PLATINUM,Pune,2057399,12208, Petrol , 2nd Owner,2021,MG
251,Honda City V,PLATINUM,Pune,1082299,26956, Petrol , 2nd Owner,2018,Honda
252,Hyundai Grand i10,PLATINUM,Pune,576999,12223, Petrol , 2nd Owner,2017,Hyundai
253,Hyundai Grand i10,PLATINUM,Pune,533199,23960, Petrol , 2nd Owner,2016,Hyundai
254,Maruti Suzuki Wagon,PLATINUM,Pune,473299,33687, Petrol , 2nd Owner,2015,Maruti
255,MG Motors Hector,PLATINUM,Pune,1838399,24887, Petrol , 2nd Owner,2020,MG
256,Toyota Innova 2.5,GOLD,Mumbai,800000,74000, Diesel , 2nd Owner,2013,Toyota
261,BMW 3 Series,GOLD,Mumbai,1890000,61000, Diesel , 2nd Owner,2015,BMW
262,Jaguar XF 2.2,GOLD,Mumbai,2150000,20000, Diesel , 2nd Owner,2014,Jaguar
263,Hyundai Verna Fluidic,GOLD,Mumbai,699000,26000, Petrol , 1st Owner,2015,Hyundai
264,Hyundai Grand i10,PLATINUM,Pune,451799,71423, Petrol , 2nd Owner,2015,Hyundai
265,Hyundai Grand i10,PLATINUM,Pune,446999,34095, Petrol , 1st Owner,2015,Hyundai
266,Maruti Suzuki Wagon,PLATINUM,Pune,470799,32658, Petrol , 2nd Owner,2016,Maruti
267,Maruti Suzuki Ignis,PLATINUM,Pune,511799,33166, Petrol , 2nd Owner,2017,Maruti
268,Maruti Suzuki Wagon,PLATINUM,Chennai,399899,31284, Petrol , 2nd Owner,2014,Maruti
269,Maruti Suzuki Wagon,PLATINUM,Pune,375999,66090, Petrol , 2nd Owner,2015,Maruti
270,Ford Ecosport -,PLATINUM,Pune,664799,51295, Petrol , 2nd Owner,2016,Ford
271,Maruti Suzuki Baleno,PLATINUM,Pune,617799,48693, Petrol , 2nd Owner,2016,Maruti
272,Maruti Suzuki Ciaz,PLATINUM,Pune,749299,36626, Diesel , 2nd Owner,2017,Maruti
273,Renault Duster -,PLATINUM,Pune,795799,55752, Diesel , 2nd Owner,2016,Renault
274,Tata Tigor -,PLATINUM,Pune,543499,49341, Diesel , 2nd Owner,2017,Tata
275,Maruti Suzuki Alto,PLATINUM,Chennai,317199,60251, Petrol , 2nd Owner,2015,Maruti
276,Maruti Suzuki Alto,PLATINUM,Pune,373699,22269, Petrol , 2nd Owner,2015,Maruti
277,Volkswagen Ameo -,PLATINUM,Pune,501799,38999, Petrol , 2nd Owner,2016,Volkswagen
278,Maruti Suzuki Vitara,PLATINUM,Pune,838699,29110, Diesel , 2nd Owner,2019,Maruti
279,Hyundai Creta -,PLATINUM,Pune,1804399,14506, Petrol , 2nd Owner,2020,Hyundai
285,Hyundai Xcent 1.2,GOLD,Chennai,299000,95000, Diesel , 2nd Owner,2016,Hyundai
286,Ford Figo 1.5,GOLD,Chennai,176000,88000, Diesel , 2nd Owner,2010,Ford
287,Maruti Suzuki Wagon,GOLD,Chennai,325000,60000, Petrol , 1st Owner,2014,Maruti
288,Hyundai Creta -,PLATINUM,Pune,1804399,14506, Petrol , 2nd Owner,2020,Hyundai
289,Maruti Suzuki S,PLATINUM,Pune,985299,29115, Diesel , 2nd Owner,2017,Maruti
290,Maruti Suzuki Baleno,PLATINUM,Pune,642899,34763, Petrol , 2nd Owner,2017,Maruti
291,Maruti Suzuki Ciaz,PLATINUM,Chennai,740000,12500, Diesel , 2nd Owner,2015,Maruti
298,Renault Kwid CLIMBER,PLATINUM,Bangalore,463099,44696, Petrol , 1st Owner,2017,Renault
299,Maruti Suzuki Alto,PLATINUM,Pune,350599,33004, Petrol , 2nd Owner,2018,Maruti
300,Hyundai Verna Fluidic,PLATINUM,Chennai,636299,46034, Petrol , 1st Owner,2016,Hyundai
301,Hyundai Grand i10,PLATINUM,Chennai,698199,60307, Petrol , 1st Owner,2020,Hyundai
302,Hyundai Grand i10,PLATINUM,Chennai,764199,8825, Petrol , 1st Owner,2021,Hyundai
303,Maruti Suzuki Celerio,PLATINUM,Chennai,524799,5743, Petrol , 1st Owner,2019,Maruti
304,Ford EcoSport Ambiente,GOLD,Chennai,420000,87000, Diesel , 1st Owner,2013,Ford
312,Maruti Suzuki Celerio,PLATINUM,Chennai,524799,5743, Petrol , 1st Owner,2019,Maruti
313,Maruti Suzuki Eeco,PLATINUM,Chennai,493899,25735, Petrol , 1st Owner,2019,Maruti
314,Hyundai Elite i20,PLATINUM,Chennai,825299,37522, Petrol , 2nd Owner,2019,Hyundai
315,Maruti Suzuki Wagon,PLATINUM,Chennai,495499,38955, Petrol , 1st Owner,2018,Maruti
317,Hyundai Eon Era,PLATINUM,Chennai,277599,65308, Petrol , 1st Owner,2014,Hyundai
318,Maruti Suzuki Wagon,PLATINUM,Chennai,473899,30467, Petrol , 1st Owner,2017,Maruti
319,Hyundai Venue S,PLATINUM,Chennai,855299,1954, Petrol , 1st Owner,2019,Hyundai
320,Hyundai Santro 1.1,PLATINUM,Chennai,540299,35220, Petrol , 1st Owner,2019,Hyundai
321,Hyundai Elite i20,PLATINUM,Chennai,642899,75876, Petrol , 1st Owner,2016,Hyundai
322,Maruti Suzuki Alto,PLATINUM,Chennai,442299,27020, Petrol , 1st Owner,2021,Maruti
323,Renault Triber 1.0,PLATINUM,Chennai,725399,13739, Petrol , 1st Owner,2019,Renault
324,Maruti Suzuki Wagon,PLATINUM,Chennai,558299,21544, Petrol , 1st Owner,2019,Maruti
325,Maruti Suzuki Alto,PLATINUM,Chennai,354299,13816, Petrol , 1st Owner,2016,Maruti
326,Hyundai Elite i20,PLATINUM,Chennai,673599,23817, Petrol , 1st Owner,2016,Hyundai
327,Hyundai Grand i10,PLATINUM,Chennai,525099,60985, Petrol , 1st Owner,2017,Hyundai
336,Maruti Suzuki Swift,PLATINUM,Chennai,529699,50141, Petrol , 1st Owner,2016,Maruti
338,Fiat Linea Dynamic,PLATINUM,Kolkata,256000,30000, Petrol , 1st Owner,2012,Fiat
341,Maruti Suzuki XL6,PLATINUM,Bangalore,1244799,22292, Petrol , 2nd Owner,2019,Maruti
342,Honda Amaze -,PLATINUM,Bangalore,474399,44013, Petrol , 1st Owner,2014,Honda
343,Maruti Suzuki Wagon,PLATINUM,Bangalore,389399,96250, Petrol , 2nd Owner,2016,Maruti
344,Maruti Suzuki Swift,PLATINUM,Chennai,562399,59839, Petrol , 2nd Owner,2017,Maruti
345,Hyundai Grand i10,PLATINUM,Chennai,446699,49693, Petrol , 2nd Owner,2015,Hyundai
346,Renault Kwid RXT,PLATINUM,Bangalore,439999,22223, Petrol , 1st Owner,2017,Renault
347,Honda Amaze -,PLATINUM,Bangalore,918999,8030, Petrol , 2nd Owner,2021,Honda
348,Volkswagen Polo -,PLATINUM,Bangalore,815799,38780, Petrol , 2nd Owner,2016,Volkswagen
349,Maruti Suzuki Vitara,PLATINUM,Bangalore,896799,31919, Diesel , 2nd Owner,2018,Maruti
