,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
350,Hyundai i10 Sportz,PLATINUM,Bangalore,411399,47564, Petrol , 2nd Owner,2015,Hyundai
351,Hyundai Grand i10,PLATINUM,Bangalore,498999,42836, Petrol , 2nd Owner,2013,Hyundai
360,Ford Figo -,PLATINUM,Bangalore,357999,50488, Petrol , 2nd Owner,2015,Ford
361,Maruti Suzuki Ignis,PLATINUM,Pune,462599,12916, Petrol , 1st Owner,2018,Maruti
362,Hyundai Elite i20,PLATINUM,Bangalore,695199,30731, Petrol , 1st Owner,2016,Hyundai
363,Maruti Suzuki Eeco,PLATINUM,Bangalore,490399,8825, Petrol , 2nd Owner,2019,Maruti
364,Renault Kwid RxL,PLATINUM,Bangalore,340099,21627, Petrol , 3rd Owner,2016,Renault
365,Maruti Suzuki Ertiga,PLATINUM,Bangalore,997899,5580, Petrol , 2nd Owner,2020,Maruti
366,Hyundai i10 Sportz,PLATINUM,Bangalore,351599,41371, Petrol , 1st Owner,2013,Hyundai
367,Maruti Suzuki Swift,PLATINUM,Bangalore,603799,42313, Petrol , 1st Owner,2016,Maruti
368,Hyundai Elite i20,PLATINUM,Bangalore,599799,74913, Petrol , 2nd Owner,2016,Hyundai
369,Maruti Suzuki Wagon,PLATINUM,Bangalore,456099,74760, Petrol , 2nd Owner,2018,Maruti
370,Ford Ecosport -,PLATINUM,Bangalore,993699,34045, Diesel , 2nd Owner,2019,Ford
371,Maruti Suzuki Ritz,PLATINUM,Bangalore,312299,143147, Petrol , 2nd Owner,2010,Maruti
372,Hyundai Venue -,PLATINUM,Bangalore,1221799,28149, Petrol , 1st Owner,2019,Hyundai
373,Maruti Suzuki Swift,PLATINUM,Bangalore,522999,38049, Petrol , 2nd Owner,2015,Maruti
374,Hyundai EON Magna,PLATINUM,Bangalore,323399,78895, Petrol , 2nd Owner,2014,Hyundai
375,Hyundai Grand i10,PLATINUM,Bangalore,510799,27027, Petrol , 2nd Owner,2015,Hyundai
384,Maruti Suzuki Vitara,PLATINUM,Pune,910799,23940, Petrol , 2nd Owner,2020,Maruti
385,Renault Captur -,PLATINUM,Chennai,722899,26678, Petrol , 2nd Owner,2018,Renault
386,Honda WR V,PLATINUM,Pune,809499,41342, Diesel , 2nd Owner,2018,Honda
387,Maruti Suzuki Alto,PLATINUM,Bangalore,297399,59614, Petrol , 1st Owner,2013,Maruti
388,Maruti Suzuki Alto,PLATINUM,Bangalore,411999,39550, Petrol , 2nd Owner,2016,Maruti
389,Renault Triber -,PLATINUM,Bangalore,623399,28621, Petrol , 1st Owner,2019,Renault
390,Honda Brio -,PLATINUM,Bangalore,372399,60437, Petrol , 1st Owner,2013,Honda
391,Maruti Suzuki Wagon,PLATINUM,Chennai,518099,26598, Petrol , 2nd Owner,2018,Maruti
392,Honda Amaze -,PLATINUM,Chennai,485599,62723, Petrol , 2nd Owner,2015,Honda
393,Maruti Suzuki Baleno,PLATINUM,Chennai,636899,21145, Petrol , 2nd Owner,2017,Maruti
394,Hyundai Grand i10,PLATINUM,Pune,396999,48699, Petrol , 1st Owner,2013,Hyundai
395,Ford Ecosport -,PLATINUM,Pune,980399,10102, Petrol , 2nd Owner,2019,Ford
396,Maruti Suzuki Baleno,PLATINUM,Bangalore,658999,34881, Petrol , 1st Owner,2017,Maruti
397,Hyundai EON D,PLATINUM,Bangalore,304099,53997, Petrol , 2nd Owner,2015,Hyundai
398,Maruti Suzuki Alto,PLATINUM,Bangalore,362599,49076, Petrol , 1st Owner,2015,Maruti
399,Maruti Suzuki Alto,PLATINUM,Bangalore,344199,65951, Petrol , 2nd Owner,2014,Maruti
401,Skoda Rapid 1.5,GOLD,Bangalore,550000,136000, Diesel , 1st Owner,2015,Skoda
408,Maruti Suzuki Alto,PLATINUM,Bangalore,462399,15032, Petrol , 1st Owner,2017,Maruti
409,Maruti Suzuki Alto,PLATINUM,Pune,319999,15575, Petrol , 2nd Owner,2017,Maruti
410,Maruti Suzuki Swift,PLATINUM,Pune,275699,147819, Diesel , 3rd Owner,2010,Maruti
411,Hyundai Grand i10,PLATINUM,Bangalore,501599,35203, Petrol , 2nd Owner,2016,Hyundai
412,Maruti Suzuki Eeco,PLATINUM,Bangalore,506599,7597, Petrol , 1st Owner,2020,Maruti
413,Mahindra Scorpio S5,PLATINUM,Bangalore,1198599,34883, Diesel , 1st Owner,2018,Mahindra
414,Ford Ecosport -,PLATINUM,Bangalore,775499,59580, Diesel , 2nd Owner,2017,Ford
415,Maruti Suzuki Ritz,PLATINUM,Bangalore,338999,49647, Petrol , 2nd Owner,2011,Maruti
416,Hyundai Verna Fluidic,PLATINUM,Bangalore,652699,67577, Petrol , 2nd Owner,2016,Hyundai
417,Tata Tiago -,PLATINUM,Bangalore,535899,10890, Petrol , 1st Owner,2017,Tata
418,Maruti Suzuki Swift,PLATINUM,Chennai,492099,57444, Petrol , 1st Owner,2015,Maruti
419,Honda City -,PLATINUM,Bangalore,885999,33598, Petrol , 2nd Owner,2017,Honda
420,Ford Freestyle -,PLATINUM,Bangalore,694899,17804, Petrol , 2nd Owner,2018,Ford
421,Maruti Suzuki Swift,PLATINUM,Pune,450599,62613, Petrol , 2nd Owner,2013,Maruti
422,Hyundai i20 Asta,PLATINUM,Bangalore,377999,56974, Petrol , 2nd Owner,2010,Hyundai
423,Datsun Redi GO,PLATINUM,Bangalore,491499,1405, Petrol , 1st Owner,2021,Datsun
432,Hyundai Verna -,PLATINUM,Pune,1171199,36965, Petrol , 2nd Owner,2018,Hyundai
433,Honda WR V,PLATINUM,Pune,625699,25526, Petrol , 1st Owner,2017,Honda
434,Hyundai Grand i10,PLATINUM,Chennai,453199,20235, Petrol , 1st Owner,2016,Hyundai
435,Maruti Suzuki Vitara,PLATINUM,Chennai,850499,61064, Diesel , 2nd Owner,2018,Maruti
436,Maruti Suzuki Ignis,PLATINUM,Chennai,548699,12558, Petrol , 2nd Owner,2018,Maruti
437,Maruti Suzuki Alto,PLATINUM,Bangalore,498799,14179, Petrol , 1st Owner,2019,Maruti
438,Honda City VX,PLATINUM,Chennai,1377199,20379, Petrol , 1st Owner,2020,Honda
439,Ford Ecosport -,PLATINUM,Pune,772799,42837, Petrol , 2nd Owner,2017,Ford
440,Hyundai Elite i20,PLATINUM,Chennai,572599,67473, Petrol , 2nd Owner,2016,Hyundai
441,Honda City V,PLATINUM,Bangalore,774899,27576, Petrol , 1st Owner,2016,Honda
442,Maruti Suzuki S,PLATINUM,Pune,885099,80900, Diesel , 2nd Owner,2017,Maruti
443,Hyundai Elite i20,PLATINUM,Bangalore,687499,100934, Diesel , 2nd Owner,2017,Hyundai
444,Hyundai Elite i20,PLATINUM,Bangalore,567799,29060, Petrol , 2nd Owner,2015,Hyundai
445,Hyundai i10 Magna,PLATINUM,Chennai,398499,36129, Petrol , 2nd Owner,2016,Hyundai
446,Maruti Suzuki Swift,PLATINUM,Pune,348499,156442, Diesel , 2nd Owner,2011,Maruti
447,Maruti Suzuki Wagon,PLATINUM,Chennai,520899,48710, Petrol , 2nd Owner,2018,Maruti
456,Ford Ecosport -,PLATINUM,Pune,916799,20619, Petrol , 2nd Owner,2018,Ford
457,Maruti Suzuki Wagon,PLATINUM,Pune,480999,51149, Petrol + CNG , 2nd Owner,2018,Maruti
458,Tata Nexon -,PLATINUM,Bangalore,1043299,12978, Petrol , 1st Owner,2020,Tata
459,Honda City V,PLATINUM,Bangalore,787399,40025, Petrol , 1st Owner,2016,Honda
460,Hyundai Grand i10,PLATINUM,Bangalore,501599,63075, Petrol , 2nd Owner,2016,Hyundai
461,Honda Brio -,PLATINUM,Chennai,362999,78724, Petrol , 2nd Owner,2012,Honda
462,Renault Kwid -,PLATINUM,Pune,403199,12257, Petrol , 2nd Owner,2018,Renault
463,Hyundai Venue -,PLATINUM,Bangalore,1022599,26890, Diesel , 2nd Owner,2019,Hyundai
464,Nissan Micra Active,PLATINUM,Chennai,483199,20485, Petrol , 2nd Owner,2018,Nissan
465,Hyundai EON Era,PLATINUM,Chennai,321399,69220, Petrol , 2nd Owner,2017,Hyundai
466,Maruti Suzuki Alto,PLATINUM,Chennai,307999,41900, Petrol , 2nd Owner,2017,Maruti
467,Maruti Suzuki Eeco,PLATINUM,Bangalore,478599,11944, Petrol , 2nd Owner,2019,Maruti
468,Maruti Suzuki Wagon,PLATINUM,Chennai,405199,66143, Petrol , 2nd Owner,2015,Maruti
469,Maruti Suzuki Alto,PLATINUM,Chennai,314999,16563, Petrol , 2nd Owner,2018,Maruti
470,Hyundai Elite i20,PLATINUM,Pune,684599,14460, Petrol , 2nd Owner,2016,Hyundai
471,Maruti Suzuki Alto,PLATINUM,Bangalore,413099,47120, Petrol , 2nd Owner,2018,Maruti
480,Maruti Suzuki Swift,PLATINUM,Chennai,501199,147960, Diesel , 2nd Owner,2016,Maruti
481,Maruti Suzuki Wagon,PLATINUM,Pune,357399,38766, Petrol , 2nd Owner,2014,Maruti
482,Maruti Suzuki Eeco,PLATINUM,Bangalore,494199,8409, Petrol , 2nd Owner,2019,Maruti
483,Renault Kwid RxL,PLATINUM,Bangalore,424099,20718, Petrol , 2nd Owner,2019,Renault
484,Maruti Suzuki Baleno,PLATINUM,Chennai,598299,51125, Petrol , 1st Owner,2017,Maruti
485,Hyundai Grand i10,PLATINUM,Bangalore,477599,64459, Petrol , 1st Owner,2014,Hyundai
486,Maruti Suzuki Swift,PLATINUM,Pune,447599,29467, Petrol , 1st Owner,2014,Maruti
487,Tata Nexon -,PLATINUM,Pune,703999,18019, Petrol , 1st Owner,2017,Tata
488,Maruti Suzuki Celerio,PLATINUM,Chennai,416099,40710, Petrol , 2nd Owner,2016,Maruti
489,Maruti Suzuki S,PLATINUM,Chennai,559099,1956, Petrol , 2nd Owner,2021,Maruti
491,Hyundai Grand i10,PLATINUM,Bangalore,527099,21531, Petrol , 3rd Owner,2018,Hyundai
492,Kia Seltos -,PLATINUM,Pune,1517999,20989, Petrol , 2nd Owner,2019,Kia
493,Hyundai i20 -,PLATINUM,Chennai,431099,33901, Petrol , 1st Owner,2013,Hyundai
494,Hyundai Grand i10,PLATINUM,Chennai,539799,54696, Petrol , 2nd Owner,2018,Hyundai
495,MG Motors Hector,PLATINUM,Bangalore,1800299,11292, Diesel , 2nd Owner,2019,MG
504,Hyundai Grand i10,PLATINUM,Bangalore,616599,27317, Petrol , 2nd Owner,2017,Hyundai
505,Hyundai Xcent -,PLATINUM,Bangalore,466599,79784, Petrol , 2nd Owner,2014,Hyundai
506,Audi Q3 -,PLATINUM,Chennai,1656999,73656, Diesel , 1st Owner,2015,Audi
507,Tata Tiago -,PLATINUM,Bangalore,562999,27664, Petrol , 1st Owner,2018,Tata
508,Hyundai Verna FLUIDIC,PLATINUM,Bangalore,488899,41898, Petrol , 2nd Owner,2012,Hyundai
509,Maruti Suzuki S,PLATINUM,Chennai,514599,4889, Petrol , 2nd Owner,2021,Maruti
510,Hyundai Grand i10,PLATINUM,Chennai,495299,39836, Petrol , 1st Owner,2015,Hyundai
511,Honda Jazz -,PLATINUM,Bangalore,752399,16108, Petrol , 2nd Owner,2016,Honda
512,Hyundai Grand i10,PLATINUM,Bangalore,474799,46111, Petrol , 2nd Owner,2015,Hyundai
513,Maruti Suzuki Ciaz,PLATINUM,Bangalore,849599,23761, Petrol , 2nd Owner,2018,Maruti
514,Maruti Suzuki S,PLATINUM,Bangalore,663199,146782, Diesel , 1st Owner,2016,Maruti
515,Hyundai Grand i10,PLATINUM,Bangalore,566699,26597, Petrol , 1st Owner,2016,Hyundai
516,Maruti Suzuki Eeco,PLATINUM,Chennai,471199,12323, Petrol , 2nd Owner,2018,Maruti
517,Renault Kwid RXL,PLATINUM,Bangalore,385499,3230, Petrol , 1st Owner,2017,Renault
518,Maruti Suzuki Swift,PLATINUM,Chennai,491599,62059, Petrol , 3rd Owner,2016,Maruti
519,Maruti Suzuki Baleno,PLATINUM,Bangalore,725699,28188, Petrol , 2nd Owner,2019,Maruti
523,BMW 5 Series,GOLD,NaviMumbai,990000,49000, Petrol , 3rd Owner,2010,BMW
528,Hyundai Grand i10,PLATINUM,Bangalore,640099,32877, Petrol , 2nd Owner,2019,Hyundai
529,Maruti Suzuki Ignis,PLATINUM,Chennai,575099,17283, Petrol , 2nd Owner,2019,Maruti
530,Maruti Suzuki Ertiga,PLATINUM,Bangalore,1081899,86033, Diesel , 1st Owner,2018,Maruti
531,Volkswagen Polo -,PLATINUM,Bangalore,726399,17419, Petrol , 2nd Owner,2018,Volkswagen
532,Maruti Suzuki Eeco,PLATINUM,Bangalore,480399,24416, Petrol , 2nd Owner,2019,Maruti
533,Renault Kwid RxL,PLATINUM,Bangalore,369599,26700, Petrol , 2nd Owner,2017,Renault
534,Maruti Suzuki Swift,PLATINUM,Bangalore,451399,28979, Petrol , 1st Owner,2014,Maruti
535,Maruti Suzuki Eeco,PLATINUM,Bangalore,494099,27150, Petrol , 1st Owner,2019,Maruti
536,Ford EcoSport -,PLATINUM,Bangalore,1240899,3195, Petrol , 1st Owner,2020,Ford
537,Hyundai Eon Era,PLATINUM,Bangalore,286199,26761, Petrol , 1st Owner,2013,Hyundai
538,Hyundai Grand i10,PLATINUM,Bangalore,509399,71992, Petrol , 2nd Owner,2017,Hyundai
539,Maruti Suzuki Alto,PLATINUM,Bangalore,378099,27239, Petrol , 2nd Owner,2016,Maruti
540,Honda Jazz -,PLATINUM,Chennai,586699,36244, Petrol , 2nd Owner,2016,Honda
541,Maruti Suzuki Vitara,PLATINUM,Pune,906899,69807, Diesel , 2nd Owner,2019,Maruti
542,Maruti Suzuki Vitara,PLATINUM,Pune,882199,31803, Diesel , 2nd Owner,2019,Maruti
543,Honda Jazz -,PLATINUM,Bangalore,507999,92373, Petrol , 1st Owner,2015,Honda
552,Maruti Suzuki Vitara,PLATINUM,Pune,782999,59612, Diesel , 2nd Owner,2016,Maruti
553,Ford Ecosport -,PLATINUM,Bangalore,623399,30212, Petrol , 2nd Owner,2014,Ford
554,Maruti Suzuki Ignis,PLATINUM,Chennai,548699,18113, Petrol , 2nd Owner,2018,Maruti
555,Maruti Suzuki Alto,PLATINUM,Bangalore,397099,48435, Petrol , 2nd Owner,2018,Maruti
556,Maruti Suzuki Wagon,PLATINUM,Bangalore,392099,29297, Petrol , 1st Owner,2015,Maruti
557,Maruti Suzuki Wagon,PLATINUM,Bangalore,354599,53525, Petrol , 2nd Owner,2012,Maruti
558,Honda Amaze -,PLATINUM,Bangalore,719599,15890, Petrol , 1st Owner,2018,Honda
559,Honda WR V,PLATINUM,Bangalore,834099,31694, Petrol , 1st Owner,2019,Honda
560,Maruti Suzuki Alto,PLATINUM,Chennai,365899,36279, Petrol , 2nd Owner,2017,Maruti
561,Hyundai i10 Sportz,PLATINUM,Chennai,400899,33349, Petrol , 1st Owner,2015,Hyundai
562,Toyota Etios Liva,PLATINUM,Chennai,320199,103182, Petrol , 1st Owner,2012,Toyota
563,Hyundai Xcent S,PLATINUM,Chennai,457399,63048, Petrol , 2nd Owner,2016,Hyundai
564,Maruti Suzuki Baleno,PLATINUM,Chennai,717699,26358, Petrol , 2nd Owner,2017,Maruti
565,Maruti Suzuki Wagon,PLATINUM,Chennai,417299,18932, Petrol , 1st Owner,2017,Maruti
566,Maruti Suzuki Alto,PLATINUM,Pune,323199,20369, Petrol , 2nd Owner,2018,Maruti
567,Honda Jazz 1.2,PLATINUM,Bangalore,633999,58769, Petrol , 1st Owner,2016,Honda
576,Hyundai Creta 1.6,PLATINUM,Chennai,875999,123920, Diesel , 1st Owner,2017,Hyundai
577,Hyundai EON -,PLATINUM,Pune,309399,17900, Petrol , 3rd Owner,2016,Hyundai
578,Maruti Suzuki Baleno,PLATINUM,Bangalore,658999,31041, Petrol , 1st Owner,2017,Maruti
579,Maruti Suzuki Wagon,PLATINUM,Chennai,514099,61875, Petrol , 2nd Owner,2018,Maruti
580,Hyundai Elite i20,PLATINUM,Chennai,672899,29210, Petrol , 2nd Owner,2016,Hyundai
581,Mahindra TUV300 -,PLATINUM,Pune,620099,35826, Diesel , 1st Owner,2016,Mahindra
582,Ford Freestyle -,PLATINUM,Bangalore,733999,29364, Petrol , 2nd Owner,2019,Ford
583,Renault Triber -,PLATINUM,Chennai,664699,16304, Petrol , 1st Owner,2021,Renault
584,Maruti Suzuki Swift,PLATINUM,Chennai,454299,95731, Petrol , 2nd Owner,2015,Maruti
585,Maruti Suzuki Swift,PLATINUM,Bangalore,357499,31011, Petrol , 2nd Owner,2010,Maruti
586,Maruti Suzuki Swift,PLATINUM,Pune,447599,30601, Petrol , 1st Owner,2014,Maruti
587,Maruti Suzuki S,PLATINUM,Bangalore,422299,14568, Petrol , 1st Owner,2019,Maruti
588,Toyota Etios V,PLATINUM,Bangalore,449699,89559, Petrol , 2nd Owner,2012,Toyota
589,Hyundai Grand i10,PLATINUM,Bangalore,493499,48834, Petrol , 2nd Owner,2014,Hyundai
590,Hyundai Elite i20,PLATINUM,Chennai,605699,74190, Diesel , 2nd Owner,2014,Hyundai
591,Ford EcoSport Titanium,PLATINUM,Bangalore,755099,43077, Petrol , 2nd Owner,2016,Ford
598,MG Motors Hector,GOLD,Surat,1401000,16000, Petrol , 1st Owner,2020,MG
599,MG Motors Hector,GOLD,Ahmedabad,1401000,16000, Petrol , 1st Owner,2020,MG
600,Maruti Suzuki Eeco,PLATINUM,Bangalore,432699,17981, Petrol , 2nd Owner,2018,Maruti
601,Maruti Suzuki Eeco,PLATINUM,Chennai,418599,20780, Petrol , 2nd Owner,2018,Maruti
602,Maruti Suzuki Alto,PLATINUM,Chennai,275799,56719, Petrol , 2nd Owner,2014,Maruti
603,Maruti Suzuki Wagon,PLATINUM,Bangalore,456199,31108, Petrol , 2nd Owner,2015,Maruti
604,Honda City -,PLATINUM,Chennai,728499,33611, Petrol , 2nd Owner,2016,Honda
605,Maruti Suzuki Alto,PLATINUM,Chennai,431599,43700, Petrol , 2nd Owner,2019,Maruti
606,Maruti Suzuki Ignis,PLATINUM,Pune,533099,49920, Petrol , 2nd Owner,2017,Maruti
607,Maruti Suzuki Swift,PLATINUM,Bangalore,451399,57338, Petrol , 1st Owner,2014,Maruti
608,Hyundai Venue S,PLATINUM,Bangalore,840699,23096, Petrol , 1st Owner,2020,Hyundai
609,Maruti Suzuki Swift,PLATINUM,Chennai,486499,48732, Petrol , 1st Owner,2016,Maruti
610,Honda City -,PLATINUM,Pune,450199,67924, Petrol , 1st Owner,2012,Honda
611,Maruti Suzuki Wagon,PLATINUM,Chennai,418999,30418, Petrol , 2nd Owner,2014,Maruti
612,Honda City -,PLATINUM,Chennai,621299,50593, Petrol , 2nd Owner,2014,Honda
613,Hyundai i20 Active,PLATINUM,Chennai,508399,136381, Petrol , 2nd Owner,2016,Hyundai
614,Maruti Suzuki Celerio,PLATINUM,Pune,390999,46943, Petrol , 2nd Owner,2015,Maruti
615,Maruti Suzuki Swift,PLATINUM,Bangalore,675099,36277, Petrol , 2nd Owner,2017,Maruti
617,Kia Seltos HTX,GOLD,Surat,1501000,5600, Diesel , 1st Owner,2021,Kia
620,Kia Seltos HTX,GOLD,Ahmedabad,1501000,5600, Diesel , 1st Owner,2021,Kia
621,Maruti Suzuki Wagon,GOLD,Ahmedabad,130000,45000, Petrol , 2nd Owner,2007,Maruti
624,Hyundai Xcent -,PLATINUM,Chennai,464199,70359, Diesel , 2nd Owner,2015,Hyundai
625,Hyundai EON Era,PLATINUM,Chennai,343999,42205, Petrol , 2nd Owner,2017,Hyundai
626,Nissan Micra -,PLATINUM,Chennai,441499,60539, Petrol , 2nd Owner,2015,Nissan
627,Maruti Suzuki Dzire,PLATINUM,Bangalore,684999,16533, Petrol , 2nd Owner,2019,Maruti
628,Volkswagen Polo -,PLATINUM,Pune,815399,26596, Petrol , 2nd Owner,2017,Volkswagen
629,Hyundai Grand i10,PLATINUM,Pune,468999,30912, Petrol , 2nd Owner,2016,Hyundai
630,Hyundai Venue -,PLATINUM,Bangalore,1194799,17951, Diesel , 2nd Owner,2019,Hyundai
631,Volkswagen Polo -,PLATINUM,Bangalore,599899,36928, Petrol , 2nd Owner,2015,Volkswagen
632,Maruti Suzuki Dzire,PLATINUM,Bangalore,710199,22854, Petrol , 2nd Owner,2018,Maruti
633,Hyundai i20 -,PLATINUM,Bangalore,474399,89156, Petrol , 1st Owner,2014,Hyundai
634,Maruti Suzuki Baleno,PLATINUM,Chennai,701399,41999, Petrol , 2nd Owner,2019,Maruti
635,Honda City -,PLATINUM,Chennai,834599,66145, Petrol , 2nd Owner,2017,Honda
636,Maruti Suzuki Alto,PLATINUM,Bangalore,333699,29157, Petrol , 2nd Owner,2017,Maruti
637,Hyundai EON Era,PLATINUM,Chennai,349799,33882, Petrol , 2nd Owner,2017,Hyundai
638,Hyundai EON Era,PLATINUM,Bangalore,286199,29379, Petrol , 2nd Owner,2013,Hyundai
639,Maruti Suzuki Alto,PLATINUM,Bangalore,386699,17352, Petrol , 2nd Owner,2019,Maruti
645,Hyundai Creta 1.6,GOLD,Delhi,1300000,19000, Diesel , 1st Owner,2021,Hyundai
648,Renault Triber -,PLATINUM,Bangalore,659199,13486, Petrol , 1st Owner,2019,Renault
649,Hyundai Grand i10,PLATINUM,Chennai,572599,33562, Petrol , 2nd Owner,2018,Hyundai
650,Hyundai Verna -,PLATINUM,Pune,1171199,13691, Petrol , 2nd Owner,2018,Hyundai
651,Hyundai Grand i10,PLATINUM,Bangalore,557199,31980, Petrol , 2nd Owner,2017,Hyundai
652,Hyundai Grand i10,PLATINUM,Chennai,531399,69526, Petrol , 2nd Owner,2016,Hyundai
653,Maruti Suzuki Alto,PLATINUM,Bangalore,426199,21492, Petrol , 2nd Owner,2016,Maruti
654,Maruti Suzuki Celerio,PLATINUM,Chennai,432999,47425, Petrol , 1st Owner,2016,Maruti
655,Hyundai Grand i10,PLATINUM,Pune,458399,40988, Petrol , 2nd Owner,2016,Hyundai
656,Jeep Compass -,PLATINUM,Chennai,1465199,51983, Diesel , 2nd Owner,2018,Jeep
657,Maruti Suzuki Vitara,PLATINUM,Pune,783099,69376, Diesel , 2nd Owner,2018,Maruti
658,Maruti Suzuki Swift,PLATINUM,Chennai,562399,33094, Petrol , 2nd Owner,2017,Maruti
659,Tata Tiago -,PLATINUM,Bangalore,529199,26237, Petrol , 3rd Owner,2017,Tata
660,Honda Brio -,PLATINUM,Bangalore,447199,42415, Petrol , 1st Owner,2015,Honda
661,Hyundai Creta -,PLATINUM,Pune,944099,112308, Diesel , 2nd Owner,2016,Hyundai
662,Maruti Suzuki Celerio,PLATINUM,Bangalore,452099,61427, Petrol , 1st Owner,2017,Maruti
663,MG Motors Hector,PLATINUM,Bangalore,1917599,10205, Diesel , 2nd Owner,2019,MG
668,Maruti Suzuki Ciaz,GOLD,Hyderabad,795000,58492, Petrol , 1st Owner,2018,Maruti
669,Honda City 1.5,GOLD,Kolkata,350888,45000, Petrol , 1st Owner,2011,Honda
672,Maruti Suzuki Swift,PLATINUM,Chennai,580599,75691, Diesel , 2nd Owner,2017,Maruti
673,Maruti Suzuki Alto,PLATINUM,Chennai,223299,84301, Petrol , 3rd Owner,2013,Maruti
674,Tata Tiago -,PLATINUM,Bangalore,600399,38346, Petrol , 2nd Owner,2019,Tata
675,Maruti Suzuki Alto,PLATINUM,Chennai,367399,41530, Petrol , 2nd Owner,2017,Maruti
676,Ford Ecosport -,PLATINUM,Pune,704099,23049, Petrol , 2nd Owner,2017,Ford
677,Maruti Suzuki Wagon,PLATINUM,Bangalore,377899,74510, Petrol , 1st Owner,2016,Maruti
678,Maruti Suzuki Wagon,PLATINUM,Bangalore,458699,20141, Petrol , 2nd Owner,2016,Maruti
679,Ford Ecosport -,PLATINUM,Chennai,566199,85860, Petrol , 2nd Owner,2015,Ford
680,Maruti Suzuki Swift,PLATINUM,Pune,594599,63133, Diesel , 1st Owner,2017,Maruti
681,Maruti Suzuki Dzire,PLATINUM,Bangalore,678699,71894, Petrol , 2nd Owner,2018,Maruti
682,Renault Duster -,PLATINUM,Bangalore,883099,95627, Diesel , 2nd Owner,2017,Renault
683,Ford Ecosport -,PLATINUM,Pune,578099,75324, Diesel , 2nd Owner,2014,Ford
684,Maruti Suzuki Alto,PLATINUM,Pune,305899,64611, Petrol , 2nd Owner,2015,Maruti
685,Maruti Suzuki Celerio,PLATINUM,Bangalore,457399,77128, Petrol , 3rd Owner,2016,Maruti
686,Maruti Suzuki Alto,PLATINUM,Bangalore,316799,36306, Petrol , 1st Owner,2016,Maruti
687,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803, Petrol , 1st Owner,2011,Hyundai
688,Mahindra XUV 500,GOLD,Mumbai,1100000,44000, Diesel , 1st Owner,2018,Mahindra
691,Honda City 1.5,GOLD,Kolkata,990888,700, Petrol , 1st Owner,2020,Honda
696,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803, Petrol , 1st Owner,2011,Hyundai
697,Hyundai Creta 1.6,PLATINUM,Chennai,841499,75398, Petrol , 2nd Owner,2017,Hyundai
698,Honda City ZX,PLATINUM,Bangalore,1016899,42317, Petrol , 1st Owner,2017,Honda
699,Maruti Suzuki Swift,PLATINUM,Bangalore,748599,60214, Diesel , 2nd Owner,2018,Maruti
700,Maruti Suzuki Swift,PLATINUM,Pune,622099,58861, Diesel , 2nd Owner,2017,Maruti
701,Volkswagen Polo -,PLATINUM,Pune,530699,27995, Petrol , 2nd Owner,2016,Volkswagen
